INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechCapFactor,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,input.capital,capacity.factor.capital,input.OM.fixed,capacity.factor.OM
Australia_NZ,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Brazil,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Canada,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Central America and Caribbean,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
China,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
EU-12,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
EU-15,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Europe_Eastern,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Europe_Non_EU,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
European Free Trade Association,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
India,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Indonesia,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Japan,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Mexico,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Middle East,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Pakistan,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Russia,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
South Africa,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
South America_Northern,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
South America_Southern,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
South Asia,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
South Korea,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Southeast Asia,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Taiwan,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Argentina,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Colombia,electricity,offshore wind,offshore wind global,2090,capital,0.604352985,OM-fixed,0.604352985
Africa_Eastern,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Africa_Northern,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Africa_Southern,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Africa_Western,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Australia_NZ,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Brazil,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Canada,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Central America and Caribbean,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
China,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
EU-12,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
EU-15,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Europe_Eastern,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Europe_Non_EU,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
European Free Trade Association,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
India,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Indonesia,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Japan,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Mexico,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Middle East,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Pakistan,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Russia,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
South Africa,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
South America_Northern,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
South America_Southern,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
South Asia,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
South Korea,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Southeast Asia,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Taiwan,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Argentina,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Colombia,electricity,offshore wind,offshore wind global,2095,capital,0.604352985,OM-fixed,0.604352985
Africa_Eastern,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Africa_Northern,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Africa_Southern,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Africa_Western,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Australia_NZ,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Brazil,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Canada,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Central America and Caribbean,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
China,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
EU-12,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
EU-15,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Europe_Eastern,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Europe_Non_EU,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
European Free Trade Association,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
India,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Indonesia,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Japan,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Mexico,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Middle East,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Pakistan,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Russia,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
South Africa,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
South America_Northern,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
South America_Southern,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
South Asia,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
South Korea,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Southeast Asia,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Taiwan,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Argentina,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Colombia,electricity,offshore wind,offshore wind global,2100,capital,0.604352985,OM-fixed,0.604352985
Africa_Eastern,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Africa_Northern,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Africa_Southern,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Africa_Western,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Australia_NZ,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Brazil,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Canada,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Central America and Caribbean,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
China,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
EU-12,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
EU-15,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Europe_Eastern,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Europe_Non_EU,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
European Free Trade Association,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
India,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Indonesia,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Japan,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Mexico,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Middle East,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Pakistan,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Russia,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
South Africa,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
South America_Northern,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
South America_Southern,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
South Asia,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
South Korea,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Southeast Asia,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Taiwan,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Argentina,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Colombia,electricity,offshore wind,offshore_wind_storage_global,1975,capital,0.604352985,OM-fixed,0.604352985
Africa_Eastern,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Africa_Northern,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Africa_Southern,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Africa_Western,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Australia_NZ,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Brazil,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Canada,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Central America and Caribbean,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
China,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
EU-12,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
EU-15,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Europe_Eastern,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Europe_Non_EU,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
European Free Trade Association,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
India,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Indonesia,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Japan,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Mexico,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Middle East,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Pakistan,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Russia,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
South Africa,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
South America_Northern,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
South America_Southern,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
South Asia,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
South Korea,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Southeast Asia,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Taiwan,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Argentina,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Colombia,electricity,offshore wind,offshore_wind_storage_global,1990,capital,0.604352985,OM-fixed,0.604352985
Africa_Eastern,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Africa_Northern,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Africa_Southern,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Africa_Western,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Australia_NZ,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Brazil,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Canada,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Central America and Caribbean,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
China,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
EU-12,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
EU-15,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Europe_Eastern,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Europe_Non_EU,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
European Free Trade Association,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
India,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Indonesia,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Japan,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Mexico,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Middle East,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Pakistan,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Russia,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
South Africa,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
South America_Northern,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
South America_Southern,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
South Asia,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
South Korea,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Southeast Asia,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Taiwan,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Argentina,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Colombia,electricity,offshore wind,offshore_wind_storage_global,2005,capital,0.604352985,OM-fixed,0.604352985
Africa_Eastern,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Africa_Northern,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Africa_Southern,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Africa_Western,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Australia_NZ,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Brazil,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Canada,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Central America and Caribbean,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
China,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
EU-12,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
EU-15,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Europe_Eastern,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Europe_Non_EU,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
European Free Trade Association,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
India,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Indonesia,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Japan,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Mexico,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Middle East,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Pakistan,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Russia,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
South Africa,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
South America_Northern,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
South America_Southern,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
South Asia,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
South Korea,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Southeast Asia,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Taiwan,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Argentina,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Colombia,electricity,offshore wind,offshore_wind_storage_global,2010,capital,0.604352985,OM-fixed,0.604352985
Africa_Eastern,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Africa_Northern,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Africa_Southern,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Africa_Western,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Australia_NZ,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Brazil,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Canada,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Central America and Caribbean,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
China,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
EU-12,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
EU-15,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Europe_Eastern,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Europe_Non_EU,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
European Free Trade Association,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
India,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Indonesia,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Japan,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Mexico,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Middle East,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Pakistan,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Russia,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
South Africa,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
South America_Northern,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
South America_Southern,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
South Asia,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
South Korea,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Southeast Asia,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Taiwan,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Argentina,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Colombia,electricity,offshore wind,offshore_wind_storage_global,2015,capital,0.604352985,OM-fixed,0.604352985
Africa_Eastern,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Africa_Northern,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Africa_Southern,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Africa_Western,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Australia_NZ,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Brazil,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Canada,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Central America and Caribbean,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
China,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
EU-12,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
EU-15,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Europe_Eastern,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Europe_Non_EU,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
European Free Trade Association,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
India,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Indonesia,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Japan,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Mexico,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Middle East,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Pakistan,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Russia,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
South Africa,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
South America_Northern,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
South America_Southern,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
South Asia,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
South Korea,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Southeast Asia,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Taiwan,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Argentina,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Colombia,electricity,offshore wind,offshore_wind_storage_global,2020,capital,0.604352985,OM-fixed,0.604352985
Africa_Eastern,electricity,offshore wind,offshore_wind_storage_global,2025,capital,0.604352985,OM-fixed,0.604352985
Africa_Northern,electricity,offshore wind,offshore_wind_storage_global,2025,capital,0.604352985,OM-fixed,0.604352985
Africa_Southern,electricity,offshore wind,offshore_wind_storage_global,2025,capital,0.604352985,OM-fixed,0.604352985
